fpr,tpr
0.0,0.0
0.0,0.0007037297677691766
0.0,0.011259676284306826
0.0,0.012667135819845179
0.0,0.0992258972554539
0.0,0.10063335679099226
0.0,0.11259676284306826
0.0,0.11400422237860662
0.0,0.34412385643912735
0.0,0.34553131597466574
0.0,0.4954257565095003
0.00019630938358853554,0.4954257565095003
0.00019630938358853554,0.6382828993666432
0.00039261876717707107,0.6382828993666432
0.00039261876717707107,0.6509500351864884
0.0005889281507656066,0.6509500351864884
0.0005889281507656066,0.6664320900774102
0.0007852375343541421,0.6664320900774102
0.0007852375343541421,0.6769880365939479
0.0009815469179426776,0.6769880365939479
0.0009815469179426776,0.6783954961294862
0.001177856301531213,0.6783954961294862
0.001177856301531213,0.6833216045038705
0.0015704750687082843,0.6833216045038705
0.0015704750687082843,0.6896551724137931
0.0017667844522968198,0.6896551724137931
0.0017667844522968198,0.6924700914848698
0.0019630938358853552,0.6924700914848698
0.0019630938358853552,0.6945812807881774
0.0021594032194738907,0.6945812807881774
0.0021594032194738907,0.6959887403237157
0.002552021986650962,0.6959887403237157
0.002552021986650962,0.6966924700914848
0.0027483313702394976,0.6966924700914848
0.0027483313702394976,0.6988036593947924
0.002944640753828033,0.6988036593947924
0.002944640753828033,0.7016185784658691
0.0031409501374165686,0.7016185784658691
0.0031409501374165686,0.705137227304715
0.003337259521005104,0.705137227304715
0.003337259521005104,0.7058409570724842
0.0035335689045936395,0.7058409570724842
0.0035335689045936395,0.7065446868402533
0.003729878288182175,0.7065446868402533
0.003729878288182175,0.7072484166080225
0.0043188064389477815,0.7072484166080225
0.0043188064389477815,0.7086558761435608
0.004515115822536317,0.7086558761435608
0.004515115822536317,0.7100633356790992
0.005104043973301924,0.7100633356790992
0.005104043973301924,0.7142857142857143
0.005692972124067531,0.7142857142857143
0.005692972124067531,0.7149894440534834
0.006281900274833137,0.7149894440534834
0.006281900274833137,0.7163969035890219
0.006870828425598744,0.7163969035890219
0.006870828425598744,0.7185080928923293
0.0076560659599528855,0.7185080928923293
0.0076560659599528855,0.7199155524278676
0.008441303494307028,0.7199155524278676
0.008441303494307028,0.7206192821956369
0.008637612877895563,0.7206192821956369
0.008637612877895563,0.7213230119634061
0.009619159795838241,0.7213230119634061
0.009619159795838241,0.7234342012667135
0.009815469179426776,0.7234342012667135
0.009815469179426776,0.7255453905700211
0.010208087946603848,0.7255453905700211
0.010208087946603848,0.7262491203377903
0.010404397330192383,0.7262491203377903
0.010404397330192383,0.7269528501055594
0.01060070671378092,0.7269528501055594
0.01060070671378092,0.7276565798733287
0.010797016097369454,0.7276565798733287
0.010797016097369454,0.7283603096410978
0.011582253631723596,0.7283603096410978
0.011582253631723596,0.7297677691766362
0.011974872398900667,0.7297677691766362
0.011974872398900667,0.7304714989444053
0.012171181782489203,0.7304714989444053
0.012171181782489203,0.7318789584799437
0.012563800549666274,0.7318789584799437
0.012563800549666274,0.733286418015482
0.012956419316843345,0.733286418015482
0.012956419316843345,0.7339901477832512
0.013349038084020416,0.7339901477832512
0.013349038084020416,0.7346938775510204
0.013545347467608953,0.7346938775510204
0.013545347467608953,0.7361013370865588
0.014526894385551629,0.7361013370865588
0.014526894385551629,0.7375087966220971
0.014723203769140165,0.7375087966220971
0.014723203769140165,0.7382125263898663
0.015312131919905771,0.7382125263898663
0.015312131919905771,0.7396199859254047
0.015508441303494307,0.7396199859254047
0.015508441303494307,0.7403237156931738
0.01668629760502552,0.7403237156931738
0.01668629760502552,0.741027445460943
0.017275225755791126,0.741027445460943
0.017275225755791126,0.7438423645320197
0.0176678445229682,0.7438423645320197
0.0176678445229682,0.7445460942997889
0.018060463290145268,0.7445460942997889
0.018060463290145268,0.7459535538353272
0.018649391440910875,0.7459535538353272
0.018649391440910875,0.7466572836030964
0.01884570082449941,0.7466572836030964
0.01884570082449941,0.7473610133708656
0.019238319591676482,0.7473610133708656
0.019238319591676482,0.7487684729064039
0.01963093835885355,0.7487684729064039
0.01963093835885355,0.7501759324419423
0.020023557126030624,0.7501759324419423
0.020023557126030624,0.7508796622097115
0.0210051040439733,0.7508796622097115
0.0210051040439733,0.752990851513019
0.021790341578327443,0.752990851513019
0.021790341578327443,0.7543983110485574
0.022182960345504515,0.7543983110485574
0.022182960345504515,0.7551020408163265
0.02237926972909305,0.7551020408163265
0.02237926972909305,0.7565095003518649
0.022575579112681585,0.7565095003518649
0.022575579112681585,0.757213230119634
0.022771888496270123,0.757213230119634
0.022771888496270123,0.7579169598874033
0.02453867294856694,0.7579169598874033
0.02453867294856694,0.7586206896551724
0.02512760109933255,0.7586206896551724
0.02512760109933255,0.7600281491907108
0.025520219866509618,0.7600281491907108
0.025520219866509618,0.7607318789584799
0.02630545740086376,0.7607318789584799
0.02630545740086376,0.7621393384940183
0.030035335689045935,0.7621393384940183
0.030035335689045935,0.7628430682617875
0.030231645072634473,0.7628430682617875
0.030231645072634473,0.7635467980295566
0.03082057322340008,0.7635467980295566
0.03082057322340008,0.7642505277973258
0.031409501374165684,0.7642505277973258
0.031409501374165684,0.764954257565095
0.03337259521005104,0.764954257565095
0.03337259521005104,0.7663617171006334
0.03396152336081665,0.7663617171006334
0.03396152336081665,0.7677691766361717
0.03435414212799372,0.7677691766361717
0.03435414212799372,0.7691766361717101
0.03455045151158225,0.7691766361717101
0.03455045151158225,0.7698803659394793
0.034746760895170786,0.7698803659394793
0.034746760895170786,0.7705840957072484
0.03513937966234786,0.7705840957072484
0.03513937966234786,0.7719915552427867
0.0353356890459364,0.7719915552427867
0.0353356890459364,0.7733990147783252
0.03631723596387907,0.7733990147783252
0.03631723596387907,0.7748064743138635
0.036709854731056146,0.7748064743138635
